sale_date,total_revenue,ma_7day,ma_30day,deviation_from_30day_avg
2023-01-01,1133417.94,1133418.0,1133418.0,0.0
2023-01-02,698894.69,916156.0,916156.0,-217262.0
2023-01-03,713164.86,848492.0,848492.0,-135328.0
2023-01-04,700771.7,811562.0,811562.0,-110791.0
2023-01-05,720935.33,793437.0,793437.0,-72502.0
2023-01-06,941099.22,818047.0,818047.0,123052.0
2023-01-07,1083316.15,855943.0,855943.0,227373.0
2023-01-08,1100131.59,851188.0,886466.0,213665.0
2023-01-09,711756.15,853025.0,867054.0,-155298.0
2023-01-10,703350.47,851623.0,850684.0,-147333.0
2023-01-11,711812.89,853200.0,838059.0,-126246.0
2023-01-12,703804.62,850753.0,826871.0,-123067.0
2023-01-13,951520.2,852242.0,836460.0,115061.0
2023-01-14,1102734.76,855016.0,855479.0,247255.0
2023-01-15,1104377.4,855622.0,872073.0,232305.0
2023-01-16,629898.73,843928.0,856937.0,-227038.0
2023-01-17,647896.38,836006.0,844640.0,-196744.0
2023-01-18,644189.66,826346.0,833504.0,-189314.0
2023-01-19,663343.75,820566.0,824548.0,-161204.0
2023-01-20,867312.6,808536.0,826686.0,40626.0
2023-01-21,976054.32,790439.0,833799.0,142255.0
2023-01-22,1008928.76,776803.0,841760.0,167169.0
2023-01-23,645105.0,778976.0,833209.0,-188104.0
2023-01-24,654856.93,779970.0,825778.0,-170921.0
2023-01-25,647477.72,780440.0,818646.0,-171168.0
2023-01-26,646707.34,778063.0,812033.0,-165326.0
2023-01-27,849624.92,775536.0,813425.0,36200.0
2023-01-28,1002923.42,779375.0,820193.0,182730.0
2023-01-29,1005928.14,778946.0,826598.0,179330.0
2023-01-30,622316.66,775691.0,819788.0,-197472.0
2023-01-31,638586.83,773366.0,803294.0,-164707.0
2023-02-01,643255.67,772763.0,801439.0,-158184.0
2023-02-02,659254.81,774556.0,799642.0,-140388.0
2023-02-03,860411.78,776097.0,804964.0,55448.0
2023-02-04,983917.23,773382.0,813730.0,170187.0
2023-02-05,1013528.28,774467.0,816144.0,197384.0
2023-02-06,645497.24,777779.0,801550.0,-156053.0
2023-02-07,635579.56,777349.0,786065.0,-150486.0
2023-02-08,645178.03,777624.0,783846.0,-138668.0
2023-02-09,640096.73,774887.0,781737.0,-141641.0
2023-02-10,856165.01,774280.0,786549.0,69616.0
2023-02-11,990529.56,775225.0,796107.0,194423.0
2023-02-12,995158.08,772601.0,797561.0,197597.0
2023-02-13,640658.71,771909.0,782159.0,-141500.0
2023-02-14,645632.98,773346.0,766867.0,-121234.0
2023-02-15,623617.34,770265.0,766658.0,-143040.0
2023-02-16,649601.15,771623.0,766715.0,-117113.0
2023-02-17,840792.01,769427.0,773268.0,67524.0
2023-02-18,1000291.27,770822.0,784500.0,215792.0
2023-02-19,1007497.74,772584.0,789172.0,218325.0
2023-02-20,645693.66,773304.0,778160.0,-132467.0
2023-02-21,644198.65,773099.0,766003.0,-121804.0
2023-02-22,640273.43,775478.0,765842.0,-125568.0
2023-02-23,638737.65,773926.0,765304.0,-126567.0
2023-02-24,842806.84,774214.0,771815.0,70991.0
2023-02-25,1028542.18,778250.0,784543.0,243999.0
2023-02-26,1007736.7,778284.0,789814.0,217923.0
2023-02-27,637517.61,777116.0,777633.0,-140116.0
2023-02-28,633863.11,775640.0,765231.0,-131368.0
2023-03-01,749248.92,791208.0,769462.0,-20213.0
2023-03-02,729033.82,804107.0,772477.0,-43443.0
2023-03-03,965977.62,821703.0,783235.0,182743.0
2023-03-04,1139334.56,837530.0,799237.0,340097.0
2023-03-05,1139094.72,856296.0,808527.0,330568.0
2023-03-06,721627.62,868311.0,799784.0,-78156.0
2023-03-07,732990.19,882472.0,790432.0,-57442.0
2023-03-08,723992.26,878864.0,793049.0,-69057.0
2023-03-09,721589.5,877801.0,795916.0,-74326.0
2023-03-10,969452.94,878297.0,806725.0,162728.0
2023-03-11,1149758.69,879787.0,823714.0,326045.0
2023-03-12,1122606.32,877431.0,832595.0,290011.0
2023-03-13,723208.52,877657.0,823684.0,-100476.0
2023-03-14,720982.94,875942.0,814545.0,-93562.0
2023-03-15,732041.65,877092.0,817591.0,-85550.0
2023-03-16,728053.8,878015.0,820339.0,-92285.0
2023-03-17,959361.79,876573.0,831530.0,127832.0
2023-03-18,1124334.48,872941.0,847355.0,276980.0
2023-03-19,1160414.56,878343.0,858009.0,302406.0
2023-03-20,737646.56,880405.0,849254.0,-111607.0
2023-03-21,702681.7,877791.0,839093.0,-136412.0
2023-03-22,982348.36,913549.0,850315.0,132033.0
2023-03-23,987207.05,950571.0,861749.0,125458.0
2023-03-24,1272394.81,995290.0,882820.0,389575.0
2023-03-25,1526497.32,1052741.0,912412.0,614086.0
2023-03-26,1514232.39,1103287.0,934792.0,579440.0
2023-03-27,976074.28,1137348.0,933043.0,43031.0
2023-03-28,984770.61,1177646.0,932278.0,52493.0
2023-03-29,988814.31,1178570.0,943988.0,44826.0
2023-03-30,957492.96,1174325.0,954776.0,2717.0
2023-03-31,1303855.54,1178820.0,973262.0,330593.0
2023-04-01,1536689.13,1180276.0,1000184.0,536505.0
2023-04-02,1542578.52,1184325.0,1019404.0,523174.0
2023-04-03,987921.98,1186018.0,1014357.0,-26435.0
2023-04-04,976500.07,1184836.0,1008937.0,-32437.0
2023-04-05,961009.71,1180864.0,1016917.0,-55907.0
2023-04-06,981392.72,1184278.0,1025197.0,-43804.0
2023-04-07,1304471.19,1184366.0,1044546.0,259925.0
2023-04-08,1520687.97,1182080.0,1071183.0,449505.0
2023-04-09,1563143.3,1185018.0,1090972.0,472171.0
