year,month,monthly_revenue,prev_year_same_month,yoy_growth_pct,yoy_status
2024,1,25280705.0,25232239.0,0.19,Flat
2024,2,22143644.0,21696033.0,2.06,Flat
2024,3,35350030.0,29947121.0,18.04,Strong Growth
2024,4,35232620.0,38943365.0,-9.53,Decline
2024,5,25616581.0,25468898.0,0.58,Flat
2024,6,29025266.0,27587378.0,5.21,Growth
2024,7,27020590.0,27228763.0,-0.76,Flat
2024,8,30611902.0,28713262.0,6.61,Growth
2024,9,28590470.0,28430216.0,0.56,Flat
2024,10,27426620.0,27748949.0,-1.16,Flat
2024,11,43560248.0,49479930.0,-11.96,Decline
2024,12,74294286.0,66061402.0,12.46,Growth
2025,1,25515668.0,25280705.0,0.93,Flat
2025,2,22023773.0,22143644.0,-0.54,Flat
2025,3,40333004.0,35350030.0,14.1,Growth
2025,4,31135604.0,35232620.0,-11.63,Decline
2025,5,26105577.0,25616581.0,1.91,Flat
2025,6,28381077.0,29025266.0,-2.22,Flat
2025,7,26926458.0,27020590.0,-0.35,Flat
2025,8,31098074.0,30611902.0,1.59,Flat
2025,9,28072368.0,28590470.0,-1.81,Flat
2025,10,27455724.0,27426620.0,0.11,Flat
2025,11,48007966.0,43560248.0,10.21,Growth
2025,12,72614494.0,74294286.0,-2.26,Flat
