year,month,monthly_revenue,monthly_units,monthly_profit,monthly_marketing_spend,mom_revenue_change,mom_pct_change
2023,1,25232239.0,383099,12743891.0,12038.0,,
2023,2,21696033.0,333595,10966793.0,0.0,-3536206.0,-14.01
2023,3,29947121.0,456888,15098296.0,6615.0,8251088.0,38.03
2023,4,38943365.0,621026,19662946.0,45423.0,8996245.0,30.04
2023,5,25468898.0,367047,12890146.0,0.0,-13474468.0,-34.6
2023,6,27587378.0,388022,13942355.0,8680.0,2118481.0,8.32
2023,7,27228763.0,387365,13777749.0,8138.0,-358615.0,-1.3
2023,8,28713262.0,384019,14557593.0,11433.0,1484499.0,5.45
2023,9,28430216.0,388864,14396203.0,6725.0,-283047.0,-0.99
2023,10,27748949.0,401791,13983940.0,0.0,-681267.0,-2.4
2023,11,49479930.0,526132,25007615.0,97772.0,21730981.0,78.31
2023,12,66061402.0,712793,33164665.0,38400.0,16581472.0,33.51
2024,1,25280705.0,382927,12763797.0,13388.0,-40780697.0,-61.73
2024,2,22143644.0,342612,11196216.0,0.0,-3137061.0,-12.41
2024,3,35350030.0,569633,17815385.0,15508.0,13206385.0,59.64
2024,4,35232620.0,549745,17792135.0,41522.0,-117409.0,-0.33
2024,5,25616581.0,369494,12966786.0,0.0,-9616040.0,-27.29
2024,6,29025266.0,405507,14662224.0,10000.0,3408685.0,13.31
2024,7,27020590.0,382854,13667286.0,9375.0,-2004676.0,-6.91
2024,8,30611902.0,401754,15522440.0,13090.0,3591311.0,13.29
2024,9,28590470.0,386145,14480306.0,7700.0,-2021431.0,-6.6
2024,10,27426620.0,397138,13823947.0,0.0,-1163850.0,-4.07
2024,11,43560248.0,503656,21979739.0,34223.0,16133627.0,58.82
2024,12,74294286.0,751608,37349578.0,114934.0,30734038.0,70.56
2025,1,25515668.0,387418,12880840.0,14738.0,-48778618.0,-65.66
2025,2,22023773.0,342334,11134478.0,777.0,-3491895.0,-13.69
2025,3,40333004.0,676685,20325260.0,31757.0,18309231.0,83.13
2025,4,31135604.0,456390,15737821.0,27006.0,-9197399.0,-22.8
2025,5,26105577.0,376512,13213527.0,0.0,-5030028.0,-16.16
2025,6,28381077.0,398601,14338176.0,10680.0,2275500.0,8.72
2025,7,26926458.0,384283,13615697.0,10013.0,-1454619.0,-5.13
2025,8,31098074.0,407264,15762483.0,13898.0,4171616.0,15.49
2025,9,28072368.0,382041,14211140.0,8175.0,-3025706.0,-9.73
2025,10,27455724.0,397801,13835679.0,0.0,-616644.0,-2.2
2025,11,48007966.0,532595,24231244.0,53666.0,20552242.0,74.86
2025,12,72614494.0,739257,36508504.0,103578.0,24606528.0,51.26
