category,month,avg_daily_revenue,annual_baseline,deviation_from_baseline_pct,seasonality_flag
Apparel,1,1880.0,2236.0,-15.91,Low
Apparel,2,1686.0,2236.0,-24.59,Low
Apparel,3,2504.0,2236.0,11.98,Normal
Apparel,4,2496.0,2236.0,11.61,Normal
Apparel,5,1663.0,2236.0,-25.62,LOW MONTH
Apparel,6,2107.0,2236.0,-5.78,Normal
Apparel,7,1842.0,2236.0,-17.64,Low
Apparel,8,1989.0,2236.0,-11.08,Low
Apparel,9,1996.0,2236.0,-10.75,Low
Apparel,10,1664.0,2236.0,-25.61,LOW MONTH
Apparel,11,2955.0,2236.0,32.14,High
Apparel,12,4053.0,2236.0,81.26,PEAK MONTH
Electronics,1,2558.0,4162.0,-38.53,LOW MONTH
Electronics,2,2579.0,4162.0,-38.05,LOW MONTH
Electronics,3,3345.0,4162.0,-19.62,Low
Electronics,4,4111.0,4162.0,-1.23,Normal
Electronics,5,3197.0,4162.0,-23.2,Low
Electronics,6,3252.0,4162.0,-21.87,Low
Electronics,7,3206.0,4162.0,-22.98,Low
Electronics,8,4269.0,4162.0,2.57,Normal
Electronics,9,3833.0,4162.0,-7.9,Normal
Electronics,10,3202.0,4162.0,-23.07,Low
Electronics,11,6788.0,4162.0,63.1,PEAK MONTH
Electronics,12,9606.0,4162.0,130.79,PEAK MONTH
Groceries,1,845.0,922.0,-8.32,Normal
Groceries,2,861.0,922.0,-6.61,Normal
Groceries,3,1277.0,922.0,38.52,High
Groceries,4,1270.0,922.0,37.8,High
Groceries,5,848.0,922.0,-8.03,Normal
Groceries,6,855.0,922.0,-7.18,Normal
Groceries,7,842.0,922.0,-8.62,Normal
Groceries,8,857.0,922.0,-7.04,Normal
Groceries,9,853.0,922.0,-7.41,Normal
Groceries,10,843.0,922.0,-8.54,Normal
Groceries,11,856.0,922.0,-7.12,Normal
Groceries,12,853.0,922.0,-7.44,Normal
Home Goods,1,1781.0,2024.0,-12.0,Low
Home Goods,2,1608.0,2024.0,-20.56,Low
Home Goods,3,2326.0,2024.0,14.96,Normal
Home Goods,4,1930.0,2024.0,-4.62,Normal
Home Goods,5,1590.0,2024.0,-21.44,Low
Home Goods,6,2004.0,2024.0,-0.96,Normal
Home Goods,7,1746.0,2024.0,-13.69,Low
Home Goods,8,1441.0,2024.0,-28.78,LOW MONTH
Home Goods,9,1604.0,2024.0,-20.75,Low
Home Goods,10,1578.0,2024.0,-22.0,Low
Home Goods,11,2812.0,2024.0,38.99,High
Home Goods,12,3862.0,2024.0,90.86,PEAK MONTH
Seasonal,1,341.0,1092.0,-68.75,LOW MONTH
Seasonal,2,344.0,1092.0,-68.49,LOW MONTH
Seasonal,3,1307.0,1092.0,19.71,Normal
Seasonal,4,1293.0,1092.0,18.44,Normal
Seasonal,5,342.0,1092.0,-68.67,LOW MONTH
Seasonal,6,345.0,1092.0,-68.44,LOW MONTH
Seasonal,7,343.0,1092.0,-68.54,LOW MONTH
Seasonal,8,347.0,1092.0,-68.25,LOW MONTH
Seasonal,9,342.0,1092.0,-68.67,LOW MONTH
Seasonal,10,1533.0,1092.0,40.4,High
Seasonal,11,1566.0,1092.0,43.45,High
Seasonal,12,4999.0,1092.0,357.81,PEAK MONTH
