active_campaign,campaign_days,total_campaign_revenue,marketing_spend,revenue_per_marketing_gbp,avg_daily_during_campaign,baseline_avg_daily,lift_pct,incremental_revenue_estimate
Christmas 2025,16,46314235.0,44800.0,1033.8,7236.6,1766.42,309.68,32182910.0
Christmas 2024,16,44694084.0,41600.0,1074.38,6983.45,1766.42,295.35,30562759.0
Christmas 2023,16,44032080.0,38400.0,1146.67,6880.01,1766.42,289.49,29900754.0
Ramadan Season 2025,31,25950276.0,23532.0,1102.77,2448.14,1766.42,38.59,-1429168.0
Ramadan Season 2024,31,25216680.0,22366.0,1127.46,2378.93,1766.42,34.68,-2162764.0
Back to School 2024,27,24394334.0,20790.0,1173.37,3613.98,1766.42,104.59,547722.0
Back to School 2025,27,24356460.0,22073.0,1103.48,3608.36,1766.42,104.28,509848.0
Ramadan Season 2023,31,23814108.0,20034.0,1188.68,2246.61,1766.42,27.18,-3565336.0
Back to School 2023,27,22758503.0,18158.0,1253.39,3371.63,1766.42,90.87,-1088109.0
Summer Sale 2024,31,18479724.0,19375.0,953.79,2384.48,1766.42,34.99,-8899719.0
Summer Sale 2025,31,18123223.0,20693.0,875.84,2338.48,1766.42,32.39,-9256221.0
Summer Sale 2023,31,17044061.0,16818.0,1013.47,2199.23,1766.42,24.5,-10335382.0
Black Friday 2025,4,15033726.0,66443.0,226.27,11564.4,1766.42,554.68,11500895.0
Black Friday 2024,4,14131607.0,63557.0,222.35,10870.47,1766.42,515.4,10598776.0
Black Friday 2023,4,13441192.0,57772.0,232.66,10339.38,1766.42,485.33,9908361.0
Eid Al-Fitr 2025,8,12687616.0,36008.0,352.36,4531.29,1766.42,156.52,5621953.0
Eid Al-Fitr 2023,8,11191997.0,32004.0,349.71,3997.14,1766.42,126.29,4126335.0
Eid Al-Fitr 2024,8,11151183.0,34664.0,321.69,3982.57,1766.42,125.46,4085520.0
New Year Sale 2025,15,7926599.0,14738.0,537.85,2113.76,1766.42,19.66,-5321518.0
New Year Sale 2024,15,7899438.0,13388.0,590.06,2106.52,1766.42,19.25,-5348679.0
New Year Sale 2023,15,7581484.0,12038.0,629.82,2021.73,1766.42,14.45,-5666634.0
Cyber Monday 2025,2,4925659.0,46000.0,107.08,24628.3,1766.42,1294.25,3159243.0
Cyber Monday 2024,2,4645757.0,44000.0,105.59,23228.79,1766.42,1215.02,2879342.0
Cyber Monday 2023,2,4155694.0,40000.0,103.89,20778.47,1766.42,1076.31,2389278.0
