sku_id,product_name,category,unit_price,total_units_sold,total_revenue,total_gross_profit,avg_daily_units,revenue_rank,abc_classification
SKU0045,Smart Phone,Electronics,721.05,92218,66493789.0,33616228.0,16.83,1,A - Top 25%
SKU0036,Smart Speaker,Electronics,640.57,75515,48372644.0,27100823.0,13.78,2,A - Top 25%
SKU0032,Pro Tablet,Electronics,680.12,70303,47814476.0,25276741.0,12.83,3,A - Top 25%
SKU0044,Ultra Tablet,Electronics,610.72,59671,36442273.0,17218664.0,10.89,4,A - Top 25%
SKU0039,Ultra Headphones,Electronics,639.89,48781,31214474.0,18266533.0,8.9,5,A - Top 25%
SKU0016,Tan Dress,Apparel,100.94,292084,29482959.0,16683838.0,53.3,6,A - Top 25%
SKU0048,Elite Laptop,Electronics,639.68,45085,28839973.0,14455604.0,8.23,7,A - Top 25%
SKU0038,Elite Speaker,Electronics,594.8,48252,28700290.0,13035760.0,8.81,8,A - Top 25%
SKU0047,Elite Laptop,Electronics,632.55,44429,28103564.0,13707235.0,8.11,9,A - Top 25%
SKU0068,Rustic Rug,Home Goods,237.44,108352,25727099.0,13773706.0,19.77,10,A - Top 25%
SKU0040,Ultra Speaker,Electronics,350.93,63169,22167897.0,12787301.0,11.53,11,A - Top 25%
SKU0020,PeachPuff Shoes,Apparel,110.53,194013,21444257.0,10979196.0,35.4,12,A - Top 25%
SKU0031,Smart Laptop,Electronics,372.07,54480,20270374.0,11062164.0,9.94,13,A - Top 25%
SKU0060,Modern Cushion,Home Goods,226.36,88213,19967895.0,9826928.0,16.1,14,A - Top 25%
SKU0018,Gray Shoes,Apparel,145.7,133053,19385822.0,8496765.0,24.28,15,A - Top 25%
SKU0013,DarkGoldenRod Shirt,Apparel,82.01,234514,19232493.0,8519894.0,42.79,16,A - Top 25%
SKU0025,DimGray Pants,Apparel,93.34,203569,19001130.0,10697551.0,37.15,17,A - Top 25%
SKU0041,Smart Speaker,Electronics,704.17,26921,18956961.0,9010997.0,4.91,18,A - Top 25%
SKU0027,MediumSpringGreen Jacket,Apparel,142.44,118803,16922299.0,7124616.0,21.68,19,A - Top 25%
SKU0057,Rustic Rug,Home Goods,234.53,68977,16177176.0,7091525.0,12.59,20,A - Top 25%
SKU0096,Holiday Ornament,Seasonal,27.45,159592,4380800.0,1841692.0,29.12,81,D - Bottom 25%
SKU0079,Fresh Coffee,Groceries,17.79,242438,4312972.0,1929806.0,44.24,82,D - Bottom 25%
SKU0087,Organic Cereal,Groceries,14.27,295600,4218212.0,2341152.0,53.94,83,D - Bottom 25%
SKU0037,Smart Phone,Electronics,103.87,40125,4167784.0,1820873.0,7.32,84,D - Bottom 25%
SKU0006,DarkSlateGray Dress,Apparel,27.57,146140,4029080.0,1635307.0,26.67,85,D - Bottom 25%
SKU0022,RosyBrown Shoes,Apparel,29.3,132834,3892036.0,1627217.0,24.24,86,D - Bottom 25%
SKU0086,Premium Cereal,Groceries,17.91,210069,3762336.0,2245638.0,38.33,87,D - Bottom 25%
SKU0030,IndianRed Pants,Apparel,30.65,118147,3621206.0,1937611.0,21.56,88,D - Bottom 25%
SKU0091,Seasonal Gift Set,Seasonal,47.29,76255,3606099.0,2081762.0,13.92,89,D - Bottom 25%
SKU0067,Modern Lamp,Home Goods,56.37,62986,3550521.0,1890840.0,11.49,90,D - Bottom 25%
SKU0090,Fresh Cereal,Groceries,23.61,148669,3510075.0,2010005.0,27.13,91,D - Bottom 25%
SKU0065,Classic Vase,Home Goods,31.53,107186,3379575.0,1682820.0,19.56,92,D - Bottom 25%
SKU0077,Fresh Tea,Groceries,6.19,535652,3315686.0,1665878.0,97.75,93,D - Bottom 25%
SKU0084,Fresh Coffee,Groceries,10.06,314460,3163468.0,1779844.0,57.38,94,D - Bottom 25%
SKU0080,Premium Snacks,Groceries,8.23,364456,2999473.0,1363065.0,66.51,95,D - Bottom 25%
SKU0051,Rustic Cushion,Home Goods,36.91,80294,2963652.0,1401130.0,14.65,96,D - Bottom 25%
SKU0093,Seasonal Ornament,Seasonal,40.64,68517,2784531.0,1303193.0,12.5,97,D - Bottom 25%
SKU0075,Organic Coffee,Groceries,4.13,512167,2115250.0,1152376.0,93.46,98,D - Bottom 25%
SKU0085,Fresh Beverages,Groceries,3.9,500034,1950133.0,940064.0,91.25,99,D - Bottom 25%
SKU0083,Fresh Coffee,Groceries,4.99,291485,1454510.0,629608.0,53.19,100,D - Bottom 25%
