sale_date,year,month,quarter,day_of_week,is_weekend,total_units_sold,total_revenue,total_gross_profit,total_marketing_spend,revenue_lag_1day,revenue_lag_7day,revenue_lag_30day,revenue_lag_365day,ma_7day,ma_30day,has_campaign,is_holiday_season,is_december
2023-01-01,2023,1,1,6,1,16787,1133417.94,571302.6,802.5,,,,,1133418.0,1133418.0,1,0,0
2023-01-02,2023,1,1,0,0,10585,698894.69,352514.94,802.5,1133417.94,,,,916156.0,916156.0,1,0,0
2023-01-03,2023,1,1,1,0,10541,713164.86,360638.85,802.5,698894.69,,,,848492.0,848492.0,1,0,0
2023-01-04,2023,1,1,2,0,10713,700771.7,353719.94,802.5,713164.86,,,,811562.0,811562.0,1,0,0
2023-01-05,2023,1,1,3,0,10582,720935.33,363840.52,802.5,700771.7,,,,793437.0,793437.0,1,0,0
2023-01-06,2023,1,1,4,0,13875,941099.22,475369.35,802.5,720935.33,,,,818047.0,818047.0,1,0,0
2023-01-07,2023,1,1,5,1,16157,1083316.15,546145.43,802.5,941099.22,,,,855943.0,855943.0,1,0,0
2023-01-08,2023,1,1,6,1,16544,1100131.59,555019.59,802.5,1083316.15,1133417.94,,,851188.0,886466.0,1,0,0
2023-01-09,2023,1,1,0,0,10710,711756.15,359672.23,802.5,1100131.59,698894.69,,,853025.0,867054.0,1,0,0
2023-01-10,2023,1,1,1,0,10612,703350.47,354701.42,802.5,711756.15,713164.86,,,851623.0,850684.0,1,0,0
2023-01-11,2023,1,1,2,0,10490,711812.89,358485.89,802.5,703350.47,700771.7,,,853200.0,838059.0,1,0,0
2023-01-12,2023,1,1,3,0,10375,703804.62,354419.09,802.5,711812.89,720935.33,,,850753.0,826871.0,1,0,0
2023-01-13,2023,1,1,4,0,14469,951520.2,480967.85,802.5,703804.62,941099.22,,,852242.0,836460.0,1,0,0
2023-01-14,2023,1,1,5,1,16719,1102734.76,557120.26,802.5,951520.2,1083316.15,,,855016.0,855479.0,1,0,0
2023-01-15,2023,1,1,6,1,16541,1104377.4,556975.0,802.5,1102734.76,1100131.59,,,855622.0,872073.0,1,0,0
2023-01-16,2023,1,1,0,0,9756,629898.73,317643.92,0.0,1104377.4,711756.15,,,843928.0,856937.0,0,0,0
2023-01-17,2023,1,1,1,0,9882,647896.38,327438.69,0.0,629898.73,703350.47,,,836006.0,844640.0,0,0,0
2023-01-18,2023,1,1,2,0,9834,644189.66,326378.9,0.0,647896.38,711812.89,,,826346.0,833504.0,0,0,0
2023-01-19,2023,1,1,3,0,9943,663343.75,335289.68,0.0,644189.66,703804.62,,,820566.0,824548.0,0,0,0
2023-01-20,2023,1,1,4,0,13467,867312.6,438718.97,0.0,663343.75,951520.2,,,808536.0,826686.0,0,0,0
2023-01-21,2023,1,1,5,1,15287,976054.32,492735.17,0.0,867312.6,1102734.76,,,790439.0,833799.0,0,0,0
2023-01-22,2023,1,1,6,1,15620,1008928.76,510077.56,0.0,976054.32,1104377.4,,,776803.0,841760.0,0,0,0
2023-01-23,2023,1,1,0,0,9948,645105.0,325771.7,0.0,1008928.76,629898.73,,,778976.0,833209.0,0,0,0
2023-01-24,2023,1,1,1,0,10238,654856.93,330374.11,0.0,645105.0,647896.38,,,779970.0,825778.0,0,0,0
