sale_date,year,month,quarter,day_of_week,is_weekend,total_units_sold,total_revenue,total_gross_profit,total_marketing_spend,revenue_lag_1day,revenue_lag_7day,revenue_lag_30day,revenue_lag_365day,ma_7day,ma_30day,has_campaign,is_holiday_season,is_december,days_until_black_friday,days_since_black_friday,days_until_christmas,days_since_christmas,days_until_ramadan,days_until_eid,days_until_cyber_monday,is_bf_week,is_xmas_2week,is_ramadan_month,dow_sin,dow_cos,month_sin,month_cos,rolling_std_7day,rolling_std_30day,days_since_last_campaign
2023-01-01,2023,1,1,6,1,16787,1133417.94,571302.6,802.5,,,,,1133418.0,1133418.0,1,0,0,327,365,358,365,80,110,330,0,0,0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,,,0
2023-01-02,2023,1,1,0,0,10585,698894.69,352514.94,802.5,1133417.94,,,,916156.0,916156.0,1,0,0,326,365,357,365,79,109,329,0,0,0,0.0,1.0,0.49999999999999994,0.8660254037844387,307254.3366582175,307254.3366582175,0
2023-01-03,2023,1,1,1,0,10541,713164.86,360638.85,802.5,698894.69,,,,848492.0,848492.0,1,0,0,325,365,356,365,78,108,328,0,0,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,246855.80939483605,246855.80939483605,0
2023-01-04,2023,1,1,2,0,10713,700771.7,353719.94,802.5,713164.86,,,,811562.0,811562.0,1,0,0,324,365,355,365,77,107,327,0,0,0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,214663.8120331691,214663.8120331691,0
2023-01-05,2023,1,1,3,0,10582,720935.33,363840.52,802.5,700771.7,,,,793437.0,793437.0,1,0,0,323,365,354,365,76,106,326,0,0,0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,190271.02668327623,190271.02668327623,0
2023-01-06,2023,1,1,4,0,13875,941099.22,475369.35,802.5,720935.33,,,,818047.0,818047.0,1,0,0,322,365,353,365,75,105,325,0,0,0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,180544.94584590395,180544.94584590395,0
2023-01-07,2023,1,1,5,1,16157,1083316.15,546145.43,802.5,941099.22,,,,855943.0,855943.0,1,0,0,321,365,352,365,74,104,324,0,0,0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,192915.11333212207,192915.11333212207,0
2023-01-08,2023,1,1,6,1,16544,1100131.59,555019.59,802.5,1083316.15,1133417.94,,,851188.0,886466.0,1,0,0,320,365,351,365,73,103,323,0,0,0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,185191.2872768628,198376.2919750685,0
2023-01-09,2023,1,1,0,0,10710,711756.15,359672.23,802.5,1100131.59,698894.69,,,853025.0,867054.0,1,0,0,319,365,350,365,72,102,322,0,0,0,0.0,1.0,0.49999999999999994,0.8660254037844387,183484.44250176454,194487.86459564915,0
2023-01-10,2023,1,1,1,0,10612,703350.47,354701.42,802.5,711756.15,713164.86,,,851623.0,850684.0,1,0,0,318,365,349,365,71,101,321,0,0,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,184764.30467373814,190532.36829945707,0
2023-01-11,2023,1,1,2,0,10490,711812.89,358485.89,802.5,703350.47,700771.7,,,853200.0,838059.0,1,0,0,317,365,348,365,70,100,320,0,0,0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,183303.2222190418,185541.15147140072,0
2023-01-12,2023,1,1,3,0,10375,703804.62,354419.09,802.5,711812.89,720935.33,,,850753.0,826871.0,1,0,0,316,365,347,365,69,99,319,0,0,0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,185464.9787553604,181102.04358345777,0
2023-01-13,2023,1,1,4,0,14469,951520.2,480967.85,802.5,703804.62,941099.22,,,852242.0,836460.0,1,0,0,315,365,346,365,68,98,318,0,0,0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,186350.75578771622,176804.8876432122,0
2023-01-14,2023,1,1,5,1,16719,1102734.76,557120.26,802.5,951520.2,1083316.15,,,855016.0,855479.0,1,0,0,314,365,345,365,67,97,317,0,0,0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,190463.08780695396,184173.32565143064,0
2023-01-15,2023,1,1,6,1,16541,1104377.4,556975.0,802.5,1102734.76,1100131.59,,,855622.0,872073.0,1,0,0,313,365,344,365,66,96,316,0,0,0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,191378.33758472235,188751.1238853957,0
2023-01-16,2023,1,1,0,0,9756,629898.73,317643.92,0.0,1104377.4,711756.15,,,843928.0,856937.0,0,0,0,312,365,343,365,65,95,315,0,0,0,0.0,1.0,0.49999999999999994,0.8660254037844387,203736.1221253779,192138.91770035762,1
2023-01-17,2023,1,1,1,0,9882,647896.38,327438.69,0.0,629898.73,703350.47,,,836006.0,844640.0,0,0,0,311,365,342,365,64,94,314,0,0,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,211059.84122922845,192822.43068975306,2
2023-01-18,2023,1,1,2,0,9834,644189.66,326378.9,0.0,647896.38,711812.89,,,826346.0,833504.0,0,0,0,310,365,341,365,63,93,313,0,0,0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,219086.7047422952,192939.49109281067,3
2023-01-19,2023,1,1,3,0,9943,663343.75,335289.68,0.0,644189.66,703804.62,,,820566.0,824548.0,0,0,0,309,365,340,365,62,92,312,0,0,0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,223350.7619248304,191524.09264074743,4
2023-01-20,2023,1,1,4,0,13467,867312.6,438718.97,0.0,663343.75,951520.2,,,808536.0,826686.0,0,0,0,308,365,339,365,61,91,311,0,0,0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,217308.00097445358,186660.9586748347,5
2023-01-21,2023,1,1,5,1,15287,976054.32,492735.17,0.0,867312.6,1102734.76,,,790439.0,833799.0,0,0,0,307,365,338,365,60,90,310,0,0,0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,192593.5120148798,184831.31478620262,6
2023-01-22,2023,1,1,6,1,15620,1008928.76,510077.56,0.0,976054.32,1104377.4,,,776803.0,841760.0,0,0,0,306,365,337,365,59,89,309,0,0,0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,168539.07818297035,184200.7898430643,7
2023-01-23,2023,1,1,0,0,9948,645105.0,325771.7,0.0,1008928.76,629898.73,,,778976.0,833209.0,0,0,0,305,365,336,365,58,88,308,0,0,0,0.0,1.0,0.49999999999999994,0.8660254037844387,166414.63129578275,184578.16312813156,8
