feature,importance
ma_7day,0.3623288603444723
days_until_christmas,0.16457740818808303
day_of_week,0.1136578787986034
days_until_cyber_monday,0.08614856179447845
rolling_std_7day,0.07370451067903064
dow_sin,0.05352650184902704
has_campaign,0.03713356629599205
days_until_black_friday,0.03392146209165681
days_since_last_campaign,0.027555695413874304
rolling_std_30day,0.01652465794705247
days_until_eid,0.011212096471092312
ma_30day,0.007391686115609072
is_weekend,0.0033163662140373485
days_until_ramadan,0.0030779897974365336
dow_cos,0.0025432171112594487
month,0.0011876181627102805
month_sin,0.00070198032142095
month_cos,0.0006707032002508657
is_december,0.0004822558720147562
quarter,0.00022660327428988854
is_holiday_season,0.00011038005760812533
