sale_date,total_units_sold,total_revenue,total_cost,total_gross_profit,total_marketing_spend,active_skus,active_stores,day_of_week,month,year,quarter,is_weekend
2023-01-01,16787,1133417.94,562115.34,571302.6,802.5,100,5,6,1,2023,1,1
2023-01-02,10585,698894.69,346379.75,352514.94,802.5,100,5,0,1,2023,1,0
2023-01-03,10541,713164.86,352526.01,360638.85,802.5,100,5,1,1,2023,1,0
2023-01-04,10713,700771.7,347051.76,353719.94,802.5,100,5,2,1,2023,1,0
2023-01-05,10582,720935.33,357094.81,363840.52,802.5,100,5,3,1,2023,1,0
2023-01-06,13875,941099.22,465729.87,475369.35,802.5,100,5,4,1,2023,1,0
2023-01-07,16157,1083316.15,537170.72,546145.43,802.5,100,5,5,1,2023,1,1
2023-01-08,16544,1100131.59,545112.0,555019.59,802.5,100,5,6,1,2023,1,1
2023-01-09,10710,711756.15,352083.92,359672.23,802.5,100,5,0,1,2023,1,0
2023-01-10,10612,703350.47,348649.05,354701.42,802.5,100,5,1,1,2023,1,0
2023-01-11,10490,711812.89,353327.0,358485.89,802.5,100,5,2,1,2023,1,0
2023-01-12,10375,703804.62,349385.52999999997,354419.09,802.5,100,5,3,1,2023,1,0
2023-01-13,14469,951520.2,470552.35,480967.85,802.5,100,5,4,1,2023,1,0
2023-01-14,16719,1102734.76,545614.5,557120.26,802.5,100,5,5,1,2023,1,1
2023-01-15,16541,1104377.4,547402.4,556975.0,802.5,100,5,6,1,2023,1,1
2023-01-16,9756,629898.73,312254.81,317643.92,0.0,100,5,0,1,2023,1,0
2023-01-17,9882,647896.38,320457.69,327438.69,0.0,100,5,1,1,2023,1,0
2023-01-18,9834,644189.66,317810.76,326378.9,0.0,100,5,2,1,2023,1,0
2023-01-19,9943,663343.75,328054.07,335289.68,0.0,100,5,3,1,2023,1,0
2023-01-20,13467,867312.6,428593.63,438718.97,0.0,100,5,4,1,2023,1,0
2023-01-21,15287,976054.32,483319.15,492735.17,0.0,100,5,5,1,2023,1,1
2023-01-22,15620,1008928.76,498851.2,510077.56,0.0,100,5,6,1,2023,1,1
2023-01-23,9948,645105.0,319333.3,325771.7,0.0,100,5,0,1,2023,1,0
2023-01-24,10238,654856.93,324482.82,330374.11,0.0,100,5,1,1,2023,1,0
2023-01-25,9919,647477.72,320372.11,327105.61,0.0,100,5,2,1,2023,1,0
2023-01-26,9990,646707.34,319595.4,327111.94,0.0,100,5,3,1,2023,1,0
2023-01-27,13453,849624.92,419595.74,430029.18,0.0,100,5,4,1,2023,1,0
2023-01-28,15507,1002923.42,495400.54,507522.88,0.0,100,5,5,1,2023,1,1
2023-01-29,15001,1005928.14,497177.07,508751.07,0.0,100,5,6,1,2023,1,1
2023-01-30,9654,622316.66,307365.98,314950.68,0.0,100,5,0,1,2023,1,0
2023-01-31,9900,638586.83,315488.51,323098.32,0.0,100,5,1,1,2023,1,0
2023-02-01,9702,643255.67,317868.26,325387.41,0.0,100,5,2,2,2023,1,0
2023-02-02,9927,659254.81,325947.8,333307.01,0.0,100,5,3,2,2023,1,0
2023-02-03,13150,860411.78,425847.14,434564.64,0.0,100,5,4,2,2023,1,0
2023-02-04,15396,983917.23,485936.06,497981.17,0.0,100,5,5,2,2023,1,1
2023-02-05,15538,1013528.28,501374.72,512153.56,0.0,100,5,6,2,2023,1,1
2023-02-06,10007,645497.24,319222.16,326275.08,0.0,100,5,0,2,2023,1,0
2023-02-07,9733,635579.56,314273.69,321305.87,0.0,100,5,1,2,2023,1,0
2023-02-08,9735,645178.03,319151.86,326026.17,0.0,100,5,2,2,2023,1,0
2023-02-09,10061,640096.73,315919.18,324177.55,0.0,100,5,3,2,2023,1,0
2023-02-10,12963,856165.01,423233.86,432931.15,0.0,100,5,4,2,2023,1,0
2023-02-11,15538,990529.5599999999,489576.45,500953.11,0.0,100,5,5,2,2023,1,1
2023-02-12,15480,995158.08,491165.67,503992.41,0.0,100,5,6,2,2023,1,1
2023-02-13,9890,640658.71,317300.48,323358.23,0.0,100,5,0,2,2023,1,0
2023-02-14,10029,645632.98,318860.38,326772.6,0.0,100,5,1,2,2023,1,0
2023-02-15,9719,623617.34,308227.2,315390.14,0.0,100,5,2,2,2023,1,0
2023-02-16,9811,649601.15,321229.25,328371.9,0.0,100,5,3,2,2023,1,0
2023-02-17,12982,840792.01,416375.47000000003,424416.54,0.0,100,5,4,2,2023,1,0
2023-02-18,15401,1000291.27,494749.85,505541.42,0.0,100,5,5,2,2023,1,1
2023-02-19,15509,1007497.74,498248.94,509248.8,0.0,100,5,6,2,2023,1,1
2023-02-20,9785,645693.66,319360.58,326333.08,0.0,100,5,0,2,2023,1,0
2023-02-21,9618,644198.65,319527.46,324671.19,0.0,100,5,1,2,2023,1,0
2023-02-22,9828,640273.43,316590.46,323682.97,0.0,100,5,2,2,2023,1,0
2023-02-23,10016,638737.65,316169.8,322567.85,0.0,100,5,3,2,2023,1,0
2023-02-24,13025,842806.84,416075.69,426731.15,0.0,100,5,4,2,2023,1,0
2023-02-25,15576,1028542.18,508653.47000000003,519888.71,0.0,100,5,5,2,2023,1,1
2023-02-26,15508,1007736.7,498189.71,509546.99,0.0,100,5,6,2,2023,1,1
2023-02-27,9724,637517.61,316181.38,321336.23,0.0,100,5,0,2,2023,1,0
2023-02-28,9944,633863.11,313982.96,319880.15,0.0,100,5,1,2,2023,1,0
2023-03-01,10768,749248.92,371614.4,377634.52,0.0,100,5,2,3,2023,1,0
2023-03-02,10433,729033.82,361576.93,367456.89,0.0,100,5,3,3,2023,1,0
2023-03-03,13958,965977.62,479201.68,486775.94,0.0,100,5,4,3,2023,1,0
2023-03-04,16393,1139334.56,563733.52,575601.04,0.0,100,5,5,3,2023,1,1
2023-03-05,16725,1139094.72,564148.53,574946.19,0.0,100,5,6,3,2023,1,1
2023-03-06,10528,721627.62,358043.46,363584.16,0.0,100,5,0,3,2023,1,0
2023-03-07,10637,732990.1900000001,363027.76,369962.43,0.0,100,5,1,3,2023,1,0
2023-03-08,10600,723992.26,358927.71,365064.55,0.0,100,5,2,3,2023,1,0
2023-03-09,10495,721589.5,357760.04,363829.46,0.0,100,5,3,3,2023,1,0
2023-03-10,13932,969452.94,480226.05,489226.89,0.0,100,5,4,3,2023,1,0
2023-03-11,16269,1149758.69,569752.44,580006.25,0.0,100,5,5,3,2023,1,1
2023-03-12,16136,1122606.32,557122.1,565484.22,0.0,100,5,6,3,2023,1,1
2023-03-13,10369,723208.52,357859.55,365348.97,0.0,100,5,0,3,2023,1,0
2023-03-14,10522,720982.94,357417.07,363565.87,0.0,100,5,1,3,2023,1,0
2023-03-15,10696,732041.65,363151.0,368890.65,0.0,100,5,2,3,2023,1,0
2023-03-16,10515,728053.8,360928.61,367125.19,0.0,100,5,3,3,2023,1,0
2023-03-17,13678,959361.79,475260.32,484101.47,0.0,100,5,4,3,2023,1,0
2023-03-18,16546,1124334.48,556367.86,567966.62,0.0,100,5,5,3,2023,1,1
2023-03-19,16500,1160414.56,574105.32,586309.24,0.0,100,5,6,3,2023,1,1
2023-03-20,10670,737646.56,365987.8,371658.76,0.0,100,5,0,3,2023,1,0
2023-03-21,10516,702681.7,348233.37,354448.33,0.0,100,5,1,3,2023,1,0
2023-03-22,16157,982348.36,487012.63,495335.73,661.5,100,5,2,3,2023,1,0
2023-03-23,16059,987207.05,489985.63,497221.42,661.5,100,5,3,3,2023,1,0
2023-03-24,21829,1272394.81,631376.69,641018.12,661.5,100,5,4,3,2023,1,0
2023-03-25,24957,1526497.32,758859.92,767637.4,661.5,100,5,5,3,2023,1,1
2023-03-26,24909,1514232.39,752180.12,762052.27,661.5,100,5,6,3,2023,1,1
2023-03-27,16263,976074.28,484880.58,491193.7,661.5,100,5,0,3,2023,1,0
2023-03-28,15710,984770.61,488394.81,496375.8,661.5,100,5,1,3,2023,1,0
2023-03-29,16482,988814.3099999999,490024.49,498789.82,661.5,100,5,2,3,2023,1,0
2023-03-30,15988,957492.96,474927.23,482565.73,661.5,100,5,3,3,2023,1,0
2023-03-31,21648,1303855.54,646737.12,657118.42,661.5,100,5,4,3,2023,1,0
2023-04-01,25371,1536689.13,762585.6,774103.53,661.5,100,5,5,4,2023,2,1
2023-04-02,24469,1542578.52,765886.43,776692.09,661.5,100,5,6,4,2023,2,1
2023-04-03,16267,987921.98,489855.87,498066.11,661.5,100,5,0,4,2023,2,0
2023-04-04,16307,976500.07,484204.02999999997,492296.04,661.5,100,5,1,4,2023,2,0
2023-04-05,15742,961009.71,477071.35,483938.36,661.5,100,5,2,4,2023,2,0
2023-04-06,15975,981392.72,486840.73,494551.99,661.5,100,5,3,4,2023,2,0
2023-04-07,20822,1304471.19,645398.63,659072.56,661.5,100,5,4,4,2023,2,0
2023-04-08,24960,1520687.97,756360.71,764327.26,661.5,100,5,5,4,2023,2,1
2023-04-09,25458,1563143.3,774771.03,788372.27,661.5,100,5,6,4,2023,2,1
2023-04-10,16167,986921.97,489547.93,497374.04,661.5,100,5,0,4,2023,2,0
2023-04-11,15805,977362.66,484968.31,492394.35,661.5,100,5,1,4,2023,2,0
2023-04-12,16542,1002191.18,497206.3,504984.88,661.5,100,5,2,4,2023,2,0
