campaign_name,start_date,end_date,marketing_spend,intensity_multiplier,revenue_during,revenue_per_pound
Summer Sale 2023,2023-06-15,2023-07-15,65000,1.4,30322109.0,466.5
Ramadan Season 2023,2023-03-22,2023-04-21,85000,1.6,37323048.0,439.1
Summer Sale 2024,2024-06-15,2024-07-15,75000,1.5,31820094.0,424.3
Back to School 2023,2023-08-15,2023-09-10,70000,1.5,29636792.0,423.4
Ramadan Season 2024,2024-03-11,2024-04-10,95000,1.7,38383741.0,404.0
Ramadan Season 2025,2025-02-28,2025-03-30,100000,1.7,40184287.0,401.8
Back to School 2024,2024-08-15,2024-09-10,80000,1.6,31197150.0,390.0
Summer Sale 2025,2025-06-15,2025-07-15,80000,1.5,31169028.0,389.6
Back to School 2025,2025-08-15,2025-09-10,85000,1.6,31220755.0,367.3
New Year Sale 2023,2023-01-01,2023-01-15,45000,1.2,13081088.0,290.7
New Year Sale 2024,2024-01-01,2024-01-15,50000,1.3,13265376.0,265.3
Christmas 2023,2023-12-10,2023-12-25,180000,2.2,45408169.0,252.3
New Year Sale 2025,2025-01-01,2025-01-15,55000,1.3,13262012.0,241.1
Christmas 2024,2024-12-10,2024-12-25,195000,2.3,46025282.0,236.0
Christmas 2025,2025-12-10,2025-12-25,210000,2.4,47657231.0,226.9
Eid Al-Fitr 2023,2023-04-21,2023-04-28,120000,2.0,13078441.0,109.0
Eid Al-Fitr 2025,2025-03-30,2025-04-06,135000,2.2,14698136.0,108.9
Eid Al-Fitr 2024,2024-04-10,2024-04-17,130000,2.1,12992956.0,99.9
Black Friday 2023,2023-11-24,2023-11-27,200000,3.0,17265630.0,86.3
Black Friday 2025,2025-11-28,2025-12-01,230000,3.3,19633398.0,85.4
Black Friday 2024,2024-11-29,2024-12-02,220000,3.2,18521276.0,84.2
Cyber Monday 2025,2025-12-01,2025-12-02,115000,2.7,7368139.0,64.1
Cyber Monday 2024,2024-12-02,2024-12-03,110000,2.6,7032917.0,63.9
Cyber Monday 2023,2023-11-27,2023-11-28,100000,2.5,6294651.0,62.9
