feature,importance,importance_pct
ma_7day,0.3623288603444723,36.23
days_until_christmas,0.164577408188083,16.46
day_of_week,0.1136578787986034,11.37
days_until_cyber_monday,0.0861485617944784,8.61
rolling_std_7day,0.0737045106790306,7.37
dow_sin,0.053526501849027,5.35
has_campaign,0.037133566295992,3.71
days_until_black_friday,0.0339214620916568,3.39
days_since_last_campaign,0.0275556954138743,2.76
rolling_std_30day,0.0165246579470524,1.65
days_until_eid,0.0112120964710923,1.12
ma_30day,0.007391686115609,0.74
is_weekend,0.0033163662140373,0.33
days_until_ramadan,0.0030779897974365,0.31
dow_cos,0.0025432171112594,0.25
month,0.0011876181627102,0.12
month_sin,0.0007019803214209,0.07
month_cos,0.0006707032002508,0.07
is_december,0.0004822558720147,0.05
quarter,0.0002266032742898,0.02
is_holiday_season,0.0001103800576081,0.01
